b'<pad>',0
b'<unk>',1
",",2
.,3
the,4
and,5
to,6
of,7
a,8
in,9
"""",10
:,11
is,12
for,13
I,14
),15
(,16
that,17
-,18
on,19
you,20
with,21
's,22
it,23
The,24
are,25
by,26
at,27
be,28
this,29
as,30
from,31
was,32
have,33
or,34
...,35
your,36
not,37
!,38
?,39
will,40
an,41
n't,42
can,43
but,44
all,45
my,46
has,47
|,48
do,49
we,50
they,51
more,52
one,53
about,54
he,55
;,56
',57
out,58
$,59
their,60
so,61
his,62
up,63
It,64
&,65
like,66
/,67
1,68
which,69
if,70
would,71
our,72
[,73
],74
me,75
who,76
just,77
This,78
time,79
what,80
A,81
2,82
had,83
when,84
there,85
been,86
some,87
get,88
were,89
other,90
also,91
In,92
her,93
them,94
You,95
new,96
We,97
no,98
any,99
>,100
people,101
than,102
into,103
only,104
3,105
how,106
its,107
first,108
said,109
i,110
If,111
over,112
make,113
good,114
know,115
very,116
%,117
am,118
now,119
see,120
may,121
she,122
could,123
most,124
then,125
'm,126
use,127
these,128
did,129
And,130
way,131
New,132
4,133
here,134
well,135
work,136
two,137
=,138
think,139
much,140
should,141
us,142
years,143
many,144
back,145
2012,146
because,147
5,148
#,149
For,150
after,151
He,152
need,153
year,154
even,155
does,156
really,157
through,158
want,159
great,160
him,161
PM,162
where,163
go,164
2011,165
day,166
--,167
such,168
10,169
*,170
right,171
best,172
made,173
're,174
views,175
But,176
find,177
take,178
being,179
've,180
those,181
information,182
2010,183
before,184
used,185
off,186
love,187
home,188
too,189
+,190
last,191
What,192
going,193
help,194
To,195
still,196
free,197
down,198
There,199
All,200
May,201
2009,202
They,203
6,204
life,205
same,206
around,207
'll,208
world,209
My,210
pm,211
own,212
little,213
while,214
each,215
look,216
By,217
say,218
AM,219
got,220
So,221
business,222
7,223
As,224
0,225
That,226
.....,227
part,228
both,229
long,230
better,231
every,232
Home,233
few,234
ago,235
things,236
between,237
8,238
Posted,239
something,240
game,241
2008,242
With,243
No,244
available,245
never,246
using,247
place,248
under,249
come,250
site,251
12,252
online,253
another,254
system,255
found,256
How,257
When,258
days,259
without,260
always,261
On,262
different,263
20,264
next,265
set,266
must,267
since,268
high,269
video,270
s,271
